    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2018/11/16,08:33:48
MCA Data File,okumura_Cs.asc
Comment,
Date,2018/11/16,08:23:11
Live Time,300,Real Time,487,Preset time,300,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
1290,    1326
1291,    1333
1292,    1422
1293,    1371
1294,    1396
1295,    1399
1296,    1340
1297,    1378
1298,    1371
1299,    1395
1300,    1409
1301,    1355
1302,    1415
1303,    1378
1304,    1363
1305,    1442
1306,    1370
1307,    1372
1308,    1347
1309,    1371
1310,    1471
1311,    1373
1312,    1361
1313,    1404
1314,    1346
1315,    1373
1316,    1408
1317,    1441
1318,    1343
1319,    1319
1320,    1367
1321,    1371
1322,    1403
1323,    1391
1324,    1350
1325,    1328
1326,    1336
1327,    1366
1328,    1383
1329,    1312
1330,    1432
1331,    1469
1332,    1293
1333,    1372
1334,    1353
1335,    1407
1336,    1318
1337,    1381
1338,    1405
1339,    1315
1340,    1318
1341,    1301
1342,    1401
1343,    1383
1344,    1303
1345,    1403
1346,    1435
1347,    1301
1348,    1443
1349,    1299
1350,    1371
1351,    1319
1352,    1308
1353,    1256
1354,    1369
1355,    1393
1356,    1416
1357,    1330
1358,    1342
1359,    1266
1360,    1313
1361,    1332
1362,    1318
1363,    1316
1364,    1365
1365,    1301
1366,    1300
1367,    1358
1368,    1370
1369,    1375
1370,    1324
1371,    1366
1372,    1364
1373,    1259
1374,    1359
1375,    1330
1376,    1373
1377,    1359
1378,    1321
1379,    1353
1380,    1264
1381,    1320
1382,    1304
1383,    1315
1384,    1331
1385,    1363
1386,    1336
1387,    1307
1388,    1275
1389,    1321
1390,    1297
1391,    1353
1392,    1262
1393,    1307
1394,    1335
1395,    1334
1396,    1287
1397,    1269
1398,    1281
1399,    1290
1400,    1332
1401,    1277
1402,    1308
1403,    1357
1404,    1265
1405,    1332
1406,    1301
1407,    1253
1408,    1366
1409,    1399
1410,    1278
1411,    1313
1412,    1290
1413,    1331
1414,    1346
1415,    1322
1416,    1276
1417,    1266
1418,    1247
1419,    1291
1420,    1347
1421,    1252
1422,    1311
1423,    1236
1424,    1262
1425,    1303
1426,    1289
1427,    1323
1428,    1293
1429,    1306
1430,    1288
1431,    1334
1432,    1273
1433,    1294
1434,    1393
1435,    1371
1436,    1271
1437,    1272
1438,    1292
1439,    1305
1440,    1309
1441,    1242
1442,    1254
1443,    1326
1444,    1383
1445,    1270
1446,    1262
1447,    1243
1448,    1333
1449,    1288
1450,    1302
1451,    1334
1452,    1292
1453,    1242
1454,    1259
1455,    1228
1456,    1301
1457,    1249
1458,    1318
1459,    1262
1460,    1284
1461,    1213
1462,    1336
1463,    1261
1464,    1266
1465,    1241
1466,    1227
1467,    1306
1468,    1342
1469,    1360
1470,    1305
1471,    1283
1472,    1292
1473,    1290
1474,    1286
1475,    1243
1476,    1258
1477,    1295
1478,    1297
1479,    1318
1480,    1271
1481,    1340
1482,    1247
1483,    1281
1484,    1227
1485,    1258
1486,    1326
1487,    1285
1488,    1248
1489,    1215
1490,    1243
1491,    1272
1492,    1301
1493,    1243
1494,    1286
1495,    1292
1496,    1211
1497,    1263
1498,    1272
1499,    1253
1500,    1311
1501,    1293
1502,    1261
1503,    1294
1504,    1256
1505,    1278
1506,    1304
1507,    1279
1508,    1251
1509,    1218
1510,    1255
1511,    1370
1512,    1236
1513,    1277
1514,    1298
1515,    1305
1516,    1281
1517,    1187
1518,    1280
1519,    1249
1520,    1246
1521,    1304
1522,    1278
1523,    1227
1524,    1238
1525,    1256
1526,    1266
1527,    1247
1528,    1175
1529,    1221
1530,    1197
1531,    1242
1532,    1223
1533,    1245
1534,    1279
1535,    1252
1536,    1263
1537,    1276
1538,    1232
1539,    1283
1540,    1267
1541,    1213
1542,    1315
1543,    1190
1544,    1228
1545,    1234
1546,    1310
1547,    1236
1548,    1285
1549,    1280
1550,    1299
1551,    1254
1552,    1240
1553,    1269
1554,    1200
1555,    1214
1556,    1241
1557,    1189
1558,    1229
1559,    1207
1560,    1150
1561,    1225
1562,    1249
1563,    1265
1564,    1247
1565,    1242
1566,    1253
1567,    1251
1568,    1261
1569,    1260
1570,    1261
1571,    1217
1572,    1167
1573,    1301
1574,    1211
1575,    1236
1576,    1202
1577,    1247
1578,    1238
1579,    1241
1580,    1309
1581,    1190
1582,    1231
1583,    1259
1584,    1219
1585,    1205
1586,    1256
1587,    1212
1588,    1233
1589,    1254
1590,    1243
1591,    1169
1592,    1275
1593,    1234
1594,    1208
1595,    1266
1596,    1242
1597,    1294
1598,    1204
1599,    1245
1600,    1245
1601,    1236
1602,    1178
1603,    1248
1604,    1245
1605,    1295
1606,    1199
1607,    1195
1608,    1218
1609,    1201
1610,    1249
1611,    1246
1612,    1283
1613,    1250
1614,    1343
1615,    1316
1616,    1267
1617,    1207
1618,    1224
1619,    1239
1620,    1234
1621,    1224
1622,    1263
1623,    1231
1624,    1266
1625,    1270
1626,    1197
1627,    1254
1628,    1267
1629,    1293
1630,    1197
1631,    1225
1632,    1252
1633,    1277
1634,    1208
1635,    1251
1636,    1203
1637,    1194
1638,    1210
1639,    1218
1640,    1182
1641,    1257
1642,    1264
1643,    1287
1644,    1209
1645,    1203
1646,    1216
1647,    1281
1648,    1239
1649,    1269
1650,    1241
1651,    1325
1652,    1242
1653,    1313
1654,    1190
1655,    1234
1656,    1234
1657,    1225
1658,    1250
1659,    1221
1660,    1241
1661,    1208
1662,    1295
1663,    1253
1664,    1275
1665,    1241
1666,    1261
1667,    1233
1668,    1234
1669,    1183
1670,    1195
1671,    1368
1672,    1212
1673,    1212
1674,    1221
1675,    1289
1676,    1217
1677,    1220
1678,    1293
1679,    1292
1680,    1246
1681,    1241
1682,    1191
1683,    1266
1684,    1244
1685,    1172
1686,    1236
1687,    1306
1688,    1259
1689,    1252
1690,    1277
1691,    1221
1692,    1233
1693,    1193
1694,    1299
1695,    1247
1696,    1278
1697,    1218
1698,    1222
1699,    1232
1700,    1250
1701,    1296
1702,    1219
1703,    1228
1704,    1279
1705,    1262
1706,    1267
1707,    1204
1708,    1236
1709,    1212
1710,    1275
1711,    1279
1712,    1269
1713,    1211
1714,    1220
1715,    1242
1716,    1298
1717,    1229
1718,    1256
1719,    1246
1720,    1216
1721,    1282
1722,    1258
1723,    1204
1724,    1223
1725,    1196
1726,    1272
1727,    1254
1728,    1231
1729,    1233
1730,    1249
1731,    1267
1732,    1270
1733,    1243
1734,    1257
1735,    1245
1736,    1316
1737,    1282
1738,    1276
1739,    1218
1740,    1285
1741,    1241
1742,    1231
1743,    1287
1744,    1239
1745,    1214
1746,    1303
1747,    1246
1748,    1224
1749,    1262
1750,    1251
1751,    1265
1752,    1256
1753,    1241
1754,    1276
1755,    1287
1756,    1328
1757,    1246
1758,    1229
1759,    1203
1760,    1215
1761,    1222
1762,    1224
1763,    1251
1764,    1283
1765,    1263
1766,    1223
1767,    1274
1768,    1328
1769,    1259
1770,    1235
1771,    1263
1772,    1264
1773,    1255
1774,    1292
1775,    1260
1776,    1310
1777,    1311
1778,    1220
1779,    1284
1780,    1326
1781,    1243
1782,    1226
1783,    1259
1784,    1215
1785,    1189
1786,    1275
1787,    1181
1788,    1235
1789,    1257
1790,    1195
1791,    1225
1792,    1320
1793,    1246
1794,    1267
1795,    1249
1796,    1227
1797,    1306
1798,    1260
1799,    1249
1800,    1301
1801,    1219
1802,    1325
1803,    1276
1804,    1243
1805,    1255
1806,    1238
1807,    1257
1808,    1280
1809,    1288
1810,    1264
1811,    1264
1812,    1269
1813,    1239
1814,    1266
1815,    1209
1816,    1200
1817,    1273
1818,    1268
1819,    1246
1820,    1284
1821,    1221
1822,    1242
1823,    1301
1824,    1208
1825,    1260
1826,    1250
1827,    1229
1828,    1239
1829,    1193
1830,    1249
1831,    1277
1832,    1298
1833,    1213
1834,    1205
1835,    1248
1836,    1208
1837,    1228
1838,    1218
1839,    1306
